Incident Address,Missed Count,Fines,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
512 Eastboro Dr,2,200,37209,RED RIVER,4203,20,1712365.63412945,663053.966363456
2640 Delk Ave,2,200,37208,METRO,9201,21,1725953.13195331,673400.102576842
3102 Southlake Dr,2,200,37211,RED RIVER,4303,16,1753307.39991928,646532.800091793
6012 Jocelyn Hollow Rd,2,200,37205,RED RIVER,1304,23,1711105.99997213,649589.90026455
3702 Benham Ave,2,200,37215,RED RIVER,3305,25,1729818.78707855,647547.321254603
5306 Kentucky Ave,2,200,37209,METRO,9306,20,1716915.45573646,665990.413522484
4507 Granny White Pike,2,200,37204,RED RIVER,3302,25,1731600.83966853,641513.759882145
4004 Harding Pl,2,200,37215,,,34,1718329.00139004,641673.601362676
4309 Estes Rd,2,200,37215,RED RIVER,3301,34,1720513.00026436,643480.801157479
3328 Smith Springs Rd,2,200,37013,RED RIVER,3502,33,1796493.94426785,636630.494907875
3612 Burwick Pl,2,200,37013,RED RIVER,3502,33,1795254.72278155,638264.352140368
3532 Thornehill Dr,2,200,37013,RED RIVER,3502,33,1790208.34353187,636150.495481616
1416 Eastland Ave,2,200,37206,METRO,9503,6,1749280.13369558,674129.580333858
3521 Richland Ave B,2,200,37205,METRO,9307,24,1725078.60273557,657280.375374262
816 Nesbitt Ln,2,200,37115,RED RIVER,3412,8,1752593.7983982,706781.799899299
1872 Wild Oaks Ct,2,200,37013,RED RIVER,4504,32,1778288.57814052,625176.673115141
331 Edwin St,2,200,37207,METRO,9206,5,1743378.44874532,682019.644478549
102 Okee Trail,2,200,37013,RED RIVER,4501,28,1774108.83746104,635400.765957104
2640 Combs Dr,2,200,37207,WASTE IND,2206,2,1735356.0257704,686186.765365817
1807 26Th Ave N,2,200,37208,METRO,9201,21,1726583.43788514,673574.737941716
1722 24Th Ave N,2,200,37208,METRO,9201,21,1727892.33344705,672551.302095262
2414 Albion St,2,200,37208,METRO,9303,21,1728350.89697256,667977.581054362
5300 Hickory Park Dr,2,200,37013,RED RIVER,4405,32,1770318.79909187,623612.744574672
4825 Lynn Dr,2,200,37211,RED RIVER,4302,26,1751586.59864045,637845.600769839
2716 Shadow Ln,2,200,37216,RED RIVER,1204,7,1761560.19851271,681970.399125112
3316 Wellenstein Way,2,200,37013,RED RIVER,4504,32,1776348.75603996,632511.28044877
3827 Moss Rose Dr,2,200,37216,RED RIVER,1204,7,1761365.90227374,683109.15463799
913 West Ave,2,200,37206,METRO,9503,5,1746647.61836252,678291.998582738
5636 Kendall Dr,2,200,37209,RED RIVER,2301,20,1714561.00070105,658688.801980576
2301 Foster Ave,2,200,37210,,,16,1749049.29149009,651888.208000497
1037 2Nd Ave S,2,200,37210,WASTE IND,4409,17,1742070.42827168,661731.170421373
1232 2Nd Ave S,2,200,37210,WASTE IND,4409,17,1743105.25400332,660022.991273126
5608 Cloverland Park Dr,2,200,37027,RED RIVER,4401,4,1744770.19882335,619540.520410191
3720 Faulkner Dr,2,200,37211,RED RIVER,2405,30,1758312.99904697,635403.201808355
4436 Stoneview Dr,2,200,37013,RED RIVER,4410,33,1796335.94846494,621471.840321744
3625 Woodmont Blvd,2,200,37215,,,25,1723200.57527247,649863.247890581
4412 Estes Rd,2,200,37215,RED RIVER,3301,34,1720541.10386034,641657.209078467
2114 Herman St,2,200,37208,METRO,9303,21,1729687.0341079,666889.000508631
912 34Th Ave N,2,200,37209,WASTE IND,3307,21,1724493.80055955,666394.400738631
505 Purnell Dr,2,200,37211,RED RIVER,2405,27,1755718.59980142,630780.001645675
201 Lisa Ln,2,200,37210,RED RIVER,1504,15,1759426.59860781,667809.600634004
2313 Pennington Bend Rd,2,200,37214,RED RIVER,1501,15,1760193.73147242,688115.422585928
1514 Shelby Ave,2,200,37206,METRO,9508,6,1748995.39904678,669510.400625713
508 Arrington St,2,200,37207,,,5,1743389.4644918,674511.191371163
2327 Benay Rd,2,200,37214,RED RIVER,1501,15,1760287.6334392,694341.278316116
3936 Calumet Dr,2,200,37013,RED RIVER,3504,33,1786371.58353756,631684.877981222
1922 Lebanon Pike,2,200,37210,RED RIVER,1504,15,1759734.75181496,664914.5810272
2602 Woodberry Dr,2,200,37214,RED RIVER,2503,15,1769866.53246115,665760.534794274
1749 Heritage Glen Dr,2,200,37115,RED RIVER,3412,8,1757411.37988645,706183.999261165
408 Amquiwood Ct,2,200,37115,RED RIVER,3412,8,1757827.39993075,707331.999531999
516 Ashlawn Cir,2,200,37211,RED RIVER,4404,31,1761136.65720878,625887.476672231
1029 Villa Pl,2,200,37212,METRO,9407,19,1734679.86167037,660259.201811902
266 Neelys Bend Rd,2,200,37115,RED RIVER,3312,7,1759203.39864892,700476.799780419
325 Idlewild Ave,2,200,37115,RED RIVER,3414,9,1760144.19919906,701670.398553466
6290 Mt View Rd,2,200,37013,RED RIVER,3503,33,1792825.00032882,632417.631763027
1026 14Th Ave N,2,200,37208,METRO,9208,19,1732182.60163989,669556.800524966
1534 Straightway Ave,2,200,37206,WASTE IND,2506,6,1751070.83731414,677684.373410517
4028 Lancashire Dr,2,200,37013,RED RIVER,3502,33,1791721.1382367,636318.320056797
916 Pierce Rd,2,200,37115,RED RIVER,3512,9,1761477.58338227,707257.600205288
3900 E Ridge Dr,2,200,37211,RED RIVER,3405,30,1762043.31124074,632724.957112701
417 Northcrest Dr,2,200,37211,RED RIVER,2405,27,1755615.94232884,631592.653892335
206 Radnor St,2,200,37211,RED RIVER,4304,16,1750255.82839672,645757.572127696
504 Eastboro Dr,2,200,37209,RED RIVER,4203,20,1712361.84849701,662839.747771825
1459 Dolan Rd,2,200,37218,RED RIVER,4204,1,1719056.22218195,674053.243342674
1341 Meridian St,2,200,37207,METRO,9204,5,1742237.79956092,679225.59843206
108 Cedar Ash Ct,2,200,37013,RED RIVER,4504,32,1783248.73310913,623496.70944648
2009 Lynmeade Dr,2,200,37210,RED RIVER,1504,15,1761164.8312675,666367.825184468
79 Fairfield Ave,2,200,37210,WASTE IND,4507,19,1745131.14808514,662531.217500962
903 Caruthers Ave,2,200,37204,METRO,9403,17,1737016.04827258,653165.631082641
809 Benton Ave,2,200,37204,METRO,9401,17,1737775.02826793,655882.190499786
716 Benson St,2,200,37206,METRO,9503,6,1750257.56050543,674527.945311543
402 Hickory Chase Dr,2,200,37115,RED RIVER,3214,8,1755268.83401607,703413.547926548
1441 Rice Hill Cir,2,200,37013,RED RIVER,4504,32,1778923.86635131,631115.790963072
306 Milliken Bend Rd,2,200,37115,RED RIVER,3312,7,1758407.87852026,697562.30870567
3910 Abbott Martin Rd,2,200,37215,RED RIVER,2303,25,1719431.28839069,647997.439258898
1504 Linden Ave,2,200,37212,METRO,9403,18,1734597.13428873,654247.297842556
108 Towne Village Ct,2,200,37013,RED RIVER,3504,33,1788990.35328199,632992.120430635
1817 5Th Ave N B,2,200,37208,WASTE IND,3207,19,1733896.31325592,674935.407745901
3548 Anderson Rd,2,200,37217,RED RIVER,3505,29,1789213.78172642,638238.131590995
391 Wimpole Dr A,2,200,37211,RED RIVER,1402,16,1754993.13584667,650824.897904982
3100 Anderson Rd,2,200,37013,RED RIVER,3504,29,1786157.94287371,634018.495585639
91 Riverpoint Pass,2,200,37214,RED RIVER,1503,15,1773122.70158352,669290.103504991
101 Aileen Ct,2,200,37013,RED RIVER,4502,28,1774968.45973937,636824.626424893
3300 Leondale Terrace,2,200,37207,RED RIVER,2202,3,1740597.79889133,695328.799324322
468 Sunliner Dr,2,200,37209,RED RIVER,4205,20,1707020.22260094,662863.876748392
677 Revels Dr,2,200,37207,RED RIVER,3205,2,1729851.46231145,688616.244288397
4743 Clarksville Pike,2,200,37218,RED RIVER,3201,1,1722827.93158997,696331.295317049
823 Knox Ave,2,200,37204,METRO,9403,17,1736981.71285238,651653.414091149
1006 Southside Ave,2,200,37203,,,17,1737151.31010293,660601.552771265
114 37Th Ave N,2,200,37209,WASTE IND,2308,24,1723777.93184058,659323.299094197
304 Shoppe Ct,2,200,37013,RED RIVER,3504,33,1789365.41996694,633259.979937561
1241 2Nd Ave S,2,200,37210,WASTE IND,4409,17,1743035.98247675,659848.790404423
3615 Hoods Hill Rd,2,200,37215,RED RIVER,3304,25,1728085.00118891,648282.400216359
820 Glen Ave,2,200,37204,METRO,9404,17,1738159.36722403,654474.675053063
2924 Harlin Dr,2,200,37211,METRO,9408,16,1747374.98154362,647299.486894281
165 Delvin Dr,2,200,37013,RED RIVER,4404,30,1764171.5376471,625918.493616902
632 Cedarmont Dr,2,200,37013,RED RIVER,4403,31,1759254.89978662,619294.650354125
3401 Mimosa Dr,2,200,37211,RED RIVER,1404,16,1756502.59960028,643027.999957167
3844 Cross Creek Rd,2,200,37215,RED RIVER,3304,25,1725593.80011581,646837.602056965
403 Woodmont Hall Pl,2,200,37205,RED RIVER,2303,24,1720947.75969578,650342.332287427
3635 Woodmont Blvd,2,200,37215,RED RIVER,2303,25,1722845.13108399,649888.09797872
946 Battery Ln,2,200,37220,RED RIVER,3302,25,1735361.93451524,639792.895725542
1712 Sweetbriar Ave B,2,200,37212,METRO,9308,18,1733020.80551393,653240.529074942
169 Nashboro Greens,2,200,37217,RED RIVER,2505,29,1780046.94614233,641139.855103779
1002 40Th Ave N,2,200,37209,WASTE IND,3307,21,1721651.36394381,666651.630628929
2943 Windemere Cir,2,200,37214,RED RIVER,1502,15,1770293.38813099,674936.303809043
2488 Walker Ln,2,200,37207,RED RIVER,3202,2,1730495.53316959,684093.703313453
4911 Tanglewood Dr N,2,200,37216,RED RIVER,2203,7,1757225.06135757,693503.333142538
332 Ewing Dr,2,200,37207,RED RIVER,3201,2,1739742.73237543,691474.505551488
1237 Quaise Moor E,2,200,37013,RED RIVER,3503,33,1792397.49952988,633525.451371392
3707 Colonial Heritage Dr,2,200,37217,RED RIVER,3501,29,1789006.62837301,643578.381635614
118 4Th Ave,2,200,37115,RED RIVER,3414,9,1760468.99849383,702771.199506765
363 Woodycrest Ave,2,200,37210,WASTE IND,4407,17,1746012.55189875,655275.175678793
2113 Hampton Ave,2,200,37215,RED RIVER,2305,25,1728084.20177063,649915.200185131
905 Noel Green Ct,2,200,37204,RED RIVER,4305S,25,1737250.31200634,646263.766158472
542 Acklen Park Dr,2,200,37205,METRO,9307,24,1724239.33820106,658925.231916284
397 Glen West Dr,2,200,37215,RED RIVER,3305,25,1729882.17263754,646632.274241453
314 Harvard Ave,2,200,37205,METRO,9307,24,1722806.27407734,657669.836527019
2817 W Linden Ave,2,200,37212,RED RIVER,2305,18,1728173.80191725,654400.801465372
3508 Woodmont Blvd,2,200,37215,RED RIVER,2305,25,1724846.60126054,649776.00048737
4900 Nevada Ave,2,200,37209,RED RIVER,1308,24,1718716.40067683,661904.000969939
6516 Pennywell Dr,2,200,37205,RED RIVER,1301,23,1702040.927105,649724.210450986
6309 Charlotte Pike,2,200,37209,RED RIVER,2301,20,1711213.0013177,660672.000437975
2619 Mashburn Rd,2,200,37210,RED RIVER,4303,16,1752901.93599666,649109.697845394
6831 Alto Vista Dr,2,200,37205,RED RIVER,1303,23,1705253.12782901,636984.094945973
1213 Stratford Ave,2,200,37216,RED RIVER,2205,7,1754291.91915141,685411.552504674
2412 Cloverdale Rd,2,200,37214,RED RIVER,2503,15,1767029.93783227,665278.500637205
892 Sharpe Ave,2,200,37206,METRO,9203,5,1745848.64403313,676887.182303405
1624 Holly St,2,200,37206,METRO,9506,6,1750117.10265569,671239.986688733
3880 Priest Lake Dr,2,200,37217,RED RIVER,4506,29,1789428.29302109,644876.877470567
1620 Lethia Dr,2,200,37216,RED RIVER,1203,7,1760590.16379005,678679.081268229
91 Oriel Ave,2,200,37210,RED RIVER,4301,16,1750225.00330266,651818.403387845
4238 Lindawood Dr,2,200,37215,RED RIVER,3301,34,1722749.00288095,643732.799962108
1209 Davidson Rd,2,200,37205,RED RIVER,1305,23,1702532.66235016,653204.503666244
637 Baldwin Ct,2,200,37207,RED RIVER,3205,2,1729550.96018768,687945.880611091
26 Belcaro Cir,2,200,37215,RED RIVER,3303,25,1726713.35771736,642498.945333783
907 Massman Dr,2,200,37217,RED RIVER,1401,13,1757790.59898715,658644.800336169
918 15Th Ave S,2,200,37212,METRO,9407,19,1735272.36198878,660991.056452929
38 Belcaro Cir,2,200,37215,RED RIVER,3303,25,1726918.19875838,642528.001418078
4305 Lindawood Dr,2,200,37215,,,34,1722487.37543929,642977.025169131
673 Candlestick Dr,2,200,37211,RED RIVER,3401,27,1750423.29267552,630106.388847529
4322 Ashland City Hwy,2,200,37218,RED RIVER,3203,1,1715547.82366191,683407.361509365
409 33Rd Ave N,2,200,37209,WASTE IND,3306,21,1725137.17199728,663622.11905275
5205 Louisiana Ave,2,200,37209,METRO,9302,20,1717285.7803194,666679.207352959
1609 Cedar Ln,2,200,37212,METRO,9402,18,1733276.64711295,651602.065762129
202 Nesbitt Ln,2,200,37115,RED RIVER,3412,8,1758548.45902519,706897.691269211
1730 24Th Ave N,2,200,37208,METRO,9201,21,1727872.20158272,672663.201456388
1312 Martin St,2,200,37203,WASTE IND,2408,17,1741525.63126176,658093.195126723
6520 Pennywell Dr,2,200,37205,RED RIVER,1301,23,1702014.03578209,649568.800766672
2632 Nashboro Blvd,2,200,37217,RED RIVER,2505,29,1781064.75995866,641193.119314965
315 Rural Hill Ct,2,200,37217,RED RIVER,4503,29,1780176.59182746,634931.403703624
6101 Bent Wood Dr,2,200,37013,RED RIVER,4510,32,1784352.20934341,622017.730219249
604 Cedar Ct,2,200,37211,RED RIVER,4403,27,1760187.53455075,623654.793423203
1310 Howard Ave,2,200,37216,RED RIVER,2205,7,1754833.91888726,684232.903126378
2206 Cabin Hill Rd B,2,200,37214,RED RIVER,1502,15,1765265.93758144,682902.502442489
129 E Fairview Dr,2,200,37218,RED RIVER,3204,1,1721855.62743422,684697.112829307
100 Nashboro Greens,2,200,37217,RED RIVER,2505,29,1778870.82969731,640860.298134754
4011 Harding Pl,2,200,37215,RED RIVER,3301,34,1718085.82764819,641502.529849352
2507 David Dr,2,200,37214,RED RIVER,2503,15,1769589.54584498,666031.941719236
847 Dewees Ave,2,200,37204,METRO,9404,17,1738403.11565811,652406.272561751
1148 Pierce Rd,2,200,37115,RED RIVER,3512,9,1761616.7989101,708404.998933652
2814 Vaulx Ln,2,200,37204,METRO,9404,17,1738212.19820305,652103.000253811
218 Chilton St,2,200,37211,METRO,9408,16,1750188.99979859,644078.399962285
6302 Franklin Dr,2,200,37209,RED RIVER,4203,20,1710252.98306866,665893.361372768
615 River Rouge Dr,2,200,37209,RED RIVER,4205,20,1706665.03749641,662813.867594319
2813 Gear St,2,200,37216,METRO,9507,5,1748233.93493179,681506.102161823
3804 Cravath Dr,2,200,37207,RED RIVER,3205,2,1730188.00435365,687154.447519853
3107 Curtis St,2,200,37218,RED RIVER,4204,2,1724132.33146065,680061.701133235
245 Ensworth Pl,2,200,37205,RED RIVER,2302,24,1720231.60107153,652017.100384883
6523 Sprint Dr,2,200,37209,RED RIVER,4205,20,1706531.4020665,660636.800309705
4001 Kennedy Ave,2,200,37216,RED RIVER,2205,7,1756192.79929208,686101.39903447
800 21St Ave N,2,200,37208,METRO,9208,21,1730024.19998066,666547.200440979
4333 Eatons Creek Rd,2,200,37218,RED RIVER,3203,1,1712832.20128188,687151.998894158
2817 Vaulx Ln,2,200,37204,METRO,9404,17,1738128.19992068,651980.600212525
3024 High Rigger Dr,2,200,37217,,,29,1787932.9799387,636169.869664806
510 Buchanan St,2,200,37208,WASTE IND,3207,19,1733890.45986183,674506.794570611
1075 2Nd Ave S,2,200,37210,WASTE IND,4409,17,1742359.4674617,661187.848829639
3308 Streamridge Ct W,2,200,37013,RED RIVER,4510,32,1784492.645765,623492.100918809
317 Clearlake Dr W,2,200,37217,RED RIVER,3501,29,1787218.74360849,641162.495776725
3223 Oakview Ct,2,200,37013,RED RIVER,3504,33,1788983.49971513,634825.399818257
1016 Summercrest Ct,2,200,37013,RED RIVER,4510,32,1785112.3215742,623407.362580899
1013 Summercrest Ct,2,200,37013,RED RIVER,4510,32,1785052.62046283,623248.355514316
6116 Bent Wood Dr,2,200,37013,RED RIVER,4510,32,1784317.81852721,622265.817019066
2640 Nashboro Blvd,2,200,37217,RED RIVER,2505,29,1781069.78402554,641098.170585135
200 Manatee Ct,2,200,37013,RED RIVER,4501,28,1771582.59851784,632699.201129064
2800 Vaulx Ln,2,200,37204,METRO,9404,17,1737994.59812965,652440.600134892
2813 W Kirkwood Ave,2,200,37204,METRO,9404,17,1737704.99197942,651824.782446594
320 Old Hickory Blvd 3024,2,200,37221,RED RIVER,1303,23,1696784.91055491,640242.155033563
6210 Hickory Valley Rd,2,200,37205,RED RIVER,1305,23,1710069.92946865,651562.499954196
760 Darden Pl,2,200,37205,RED RIVER,1305,23,1708881.12873602,654284.098741377
4401 Alabama Ave,2,200,37209,RED RIVER,1309,24,1720558.73059531,663496.099838252
616 Sue Dr,2,200,37013,RED RIVER,4404,31,1763038.89675629,624474.008190216
183 Mccall St,2,200,37211,RED RIVER,4304,16,1751450.64410601,643499.164032871
185 Mccall St,2,200,37211,RED RIVER,4304,16,1751368.2446602,643517.56252591
521 S 11Th St,2,200,37206,WASTE IND,4508,6,1746887.75846971,669260.584391295
613 Bell Ridge Trce,2,200,37013,RED RIVER,4502,32,1780539.39967669,629756.000252692
118 Elizabeths Ct,2,200,37013,RED RIVER,4502,28,1773606.42285828,636214.253209531
532 Bell Rd,2,200,37013,RED RIVER,4502,32,1780508.19861859,632655.201463415
224 Shoemaker Ct,2,200,37013,RED RIVER,3504,33,1786256.20093912,631876.547064561
111 2Nd Ave N,2,200,37201,METRO,,19,1739543.36496981,666600.801765471
3316 Curtis Hill Ct,2,200,37218,RED RIVER,4204,2,1723755.41711946,680649.197306288
3114 Moorewood Dr,2,200,37207,RED RIVER,2202,3,1738636.16355867,692656.800330449
921 Mcclurkan Ave,2,200,37206,METRO,9503,5,1747767.88633825,679233.054392672
1706 Stewart Pl,2,200,37203,METRO,9404,17,1740750.1744984,656979.558511882
399 Glen West Dr,2,200,37215,RED RIVER,3305,25,1729966.44003101,646604.268877721
2905 Dobbs Ave,2,200,37211,RED RIVER,4304,16,1751018.39230882,647296.236636227
614 Southgate Ave,2,200,37203,METRO,9404,17,1740981.93124846,657228.525975135
205 Berry St,2,200,37207,METRO,9207,5,1740941.07582947,673671.093779482
620 Stockell St,2,200,37207,METRO,9207,5,1741135.61149818,674088.807640736
3518 Kennedy Ave,2,200,37216,RED RIVER,2205,7,1755151.86962335,684236.629250802
3943 Moss Rose Dr,2,200,37216,RED RIVER,1204,7,1760624.19842979,684286.398975141
1101 39Th Ave N,2,200,37209,WASTE IND,3307,21,1722035.89872878,667443.205169198
513 Mcdonald Dr,2,200,37217,RED RIVER,1402,16,1759546.07200653,649439.182978616
524 Richmar Dr,2,200,37211,RED RIVER,2403,26,1745426.00696155,636803.295836367
3300 Nevada Ave,2,200,37209,WASTE IND,2308,24,1725041.80179197,662240.002014455
4203 Nevada Ave,2,200,37209,RED RIVER,1308,24,1721279.87786918,661835.723920864
3319 Nevada Ave,2,200,37209,WASTE IND,2308,24,1724678.60073828,662111.200690637
3903 Abbott Martin Rd,2,200,37215,RED RIVER,2303,34,1719672.75182432,647713.961514104
2615 Albion St,2,200,37208,METRO,9303,21,1727179.52119701,667696.496376486
1403 Haysboro Ave,2,200,37216,RED RIVER,2203,7,1757367.93725053,691938.904473614
250 Sunrise Ave,2,200,37211,RED RIVER,4304,16,1750922.87835257,645274.287346461
4713 Derbyshire Dr,2,200,37013,,3503,33,1796124.26289957,632940.449340805
1756 Bridgecrest Dr,2,200,37013,RED RIVER,4504,32,1774604.00783031,633009.876048349
3067 Brick Church Pike,2,200,37207,RED RIVER,2202,2,1738341.79894515,691992.799130237
3612 Meadow Dr,2,200,37215,RED RIVER,2303,24,1723728.20123248,652257.600626053
1908 Sheridan Rd,2,200,37206,RED RIVER,1203,7,1756650.24191766,677778.554323643
730 Cameo Dr,2,200,37211,RED RIVER,4303,16,1757113.6836417,649149.402982255
5112 Greentree Dr,2,200,37211,RED RIVER,3401,27,1750182.73550852,630109.694816564
3511 Nolensville Pik,2,200,37211,METRO,9408,16,1750295.05144369,643099.249097842
950 Glendale Ln,2,200,37204,RED RIVER,3302,25,1735198.60102765,641461.601174768
724 Cameo Dr,2,200,37211,RED RIVER,4303,16,1757076.99944483,649399.20140785
210 La Vista Dr,2,200,37215,RED RIVER,3301,34,1723289.8014338,641906.400277226
3827 Cleghorn Ave,2,200,37215,RED RIVER,3305,25,1726458.73260625,646953.697532432
3514 Steffisburg Dr,2,200,37211,RED RIVER,4403,4,1755139.88858491,622687.24567219
584 Whispering Hills Dr,2,200,37211,RED RIVER,2405,27,1752678.36361709,631988.000614837
611 Sue Ct,2,200,37013,RED RIVER,4404,31,1762914.77527982,625105.982002217
1261 1St Ave S,2,200,37210,WASTE IND,4409,17,1743735.12979099,659478.767735181
209 Tenonwood Ct,2,200,37013,RED RIVER,3502,33,1789103.54309904,635284.895329184
3300 Eaglewood Ln,2,200,37207,RED RIVER,2202,3,1742083.13315169,695462.506061331
1002 N Graycroft Ave,2,200,37115,RED RIVER,3412,8,1755201.99948166,709260.598116478
532 Paragon Mills Rd,2,200,37211,RED RIVER,1404,26,1753877.76035546,638803.849974204
6109 California Ave,2,200,37209,METRO,9302,20,1714239.606849,668246.484703965
3401 Clare Ave,2,200,37209,WASTE IND,3307,21,1724332.20131982,666451.200990585
155 Davidson Rd,2,200,37205,RED RIVER,1304,23,1712567.60174552,649882.7010617
936 Strouse Ave,2,200,37206,METRO,9503,5,1747431.01859767,678349.598252974
1801 Blair Blvd,2,200,37212,METRO,9308,18,1732892.50090451,654826.911197347
728 Branch Creek Rd,2,200,37209,RED RIVER,2301,24,1714278.63715399,657105.939003926
7839 Heaton Way,2,200,37211,,,31,1758971.57545631,615774.978696494
2710 Mashburn Rd,2,200,37210,RED RIVER,4303,16,1752668.97118453,648147.735572641
4950 Barella Dr,2,200,37013,RED RIVER,3404,30,1766295.33706887,629137.496383504
245 Benzing Rd,2,200,37013,RED RIVER,4404,31,1765458.59936209,624584.800836347
1700 15Th Ave S,2,200,37212,METRO,9407,17,1734816.06354957,657846.872058872
5233 Green Leaf Dr,2,200,37211,RED RIVER,3401,27,1755444.74957082,626667.431889486
1602 5Th Ave N,2,200,37208,WASTE IND,3207,19,1734945.91757271,673443.311016776
2310 14Th Ave N,2,200,37208,METRO,9205,2,1729316.20032383,676805.599012541
204 Morganmeade Ct,2,200,37216,RED RIVER,1204,7,1762074.59845343,681330.399491222
1409 Scovel St,2,200,37208,METRO,9208,19,1731872.91656119,670091.313026393
3924 Lloyd Rd,2,200,37189,RED RIVER,3201,1,1723011.20225954,699526.655091783
1813 Hermosa St,2,200,37208,METRO,9208,21,1730626.73283831,667296.901862701
1800 Porter Rd,2,200,37206,RED RIVER,1203,7,1755846.20208743,678874.995473152
504 Torrington Ct,2,200,37205,RED RIVER,1301,23,1705416.32792151,648153.697989209
6109 New York Ave A,2,200,37209,METRO,9302,20,1714460.26305485,668551.359749887
311 Collier Ave,2,200,37211,RED RIVER,4304,16,1749144.99909724,647401.601548823
2849 Old Matthews Rd,2,200,37207,WASTE IND,2206,2,1733957.00154002,685961.599772998
1529 Lock Rd,2,200,37207,RED RIVER,3202,2,1736269.8709947,680318.787102854
1121 Greenland Ave,2,200,37216,RED RIVER,2203,7,1755240.99882553,688296.799513105
311 Flora Maxwell Rd,2,200,37211,RED RIVER,2405,30,1755735.73386801,634787.665561153
3947 Keeley Dr,2,200,37211,RED RIVER,3405,30,1762342.59947501,631043.200221287
2669 Miami Ave,2,200,37214,RED RIVER,1501,15,1760194.03817993,695878.828783822
2126 Nashboro Blvd,2,200,37217,RED RIVER,2505,29,1783000.01904298,640068.877992928
2830 Old Smith Springs Rd,2,200,37217,,,29,1788991.03436322,639766.797024055
6305 E Valley Rd,2,200,37205,RED RIVER,1303,23,1707062.72851679,643601.697786712
1014 Montrose Ave,2,200,37204,METRO,9403,17,1735873.24282692,652584.63964641
3805 Hilltop Ave,2,200,37216,RED RIVER,2205,8,1751623.71024907,686762.652509372
489 Hogan Rd,2,200,37220,RED RIVER,2401,26,1745052.99853176,631147.201769535
1720 Sweetbriar Ave,2,200,37212,METRO,9308,18,1732813.85306092,653273.760350789
129 Page Rd,2,200,37205,RED RIVER,1302,34,1711974.93209002,642733.754797571
3509 Elkins Ave,2,200,37209,WASTE IND,2308,24,1724405.6109766,662464.757413105
924 Halcyon Ave,2,200,37204,METRO,9403,17,1736312.33434628,652197.499562572
431 Cedarcreek Trl,2,200,37211,RED RIVER,4403,31,1760004.18443148,621021.47304609
2109 Hamilton Glen Pl,2,200,37013,RED RIVER,3504,33,1785112.32553171,630340.709427077
142 Sarver Ave,2,200,37115,RED RIVER,3512,9,1760038.1991051,707445.598057149
4702 Lori Dr,2,200,37013,RED RIVER,4505,28,1768156.99817713,632204.001078426
215 Cherry St,2,200,37115,RED RIVER,3414,9,1759240.9990108,701712.554016544
1221 Katie Ave,2,200,37207,RED RIVER,3202,2,1738476.61965118,679551.699749681
909 Marilyn Rd,2,200,37209,RED RIVER,4203,20,1714229.00286058,666475.166831751
108 Alton Rd,2,200,37205,RED RIVER,1302,34,1709970.60043303,641514.400377796
1460 Bell Trace Dr,2,200,37013,RED RIVER,4405,32,1770329.04739521,622134.404226136
1300 Elmwood Ave,2,200,37212,METRO,9403,18,1734985.03038929,653756.078870993
636 Brook Hollow Rd,2,200,37205,RED RIVER,1301,23,1706261.00081131,649152.800509954
1021 Foster Ave,2,200,37210,WASTE IND,4409,17,1749677.99936433,658503.799968515
2430 Eastland Ave,2,200,37206,RED RIVER,1201,6,1756447.39818489,673176.000581782
1412 E Riverwood Dr,2,200,37216,RED RIVER,2203,7,1758778.59885483,687077.599567448
6049 Cargile Rd,2,200,37205,RED RIVER,1304,23,1709804.2007261,646214.400100791
2506 Mcginnis Dr,2,200,37216,RED RIVER,1204,7,1761587.54596845,680405.97340145
2312 Alpine Ave,2,200,37218,RED RIVER,4204,2,1724318.73252259,680645.702130306
806 Washington Ave,2,200,37206,RED RIVER,1202,6,1753960.71693508,674909.898526254
112 Bess Ct S,2,200,37013,RED RIVER,4404,31,1764384.19899969,625613.600717781
676 Magnolia Ln,2,200,37211,RED RIVER,4402,4,1754096.61968207,620920.597883513
616 Brook Dr,2,200,37013,RED RIVER,4404,31,1763900.74287851,624229.206128885
210 Ash Grove Dr,2,200,37211,RED RIVER,4404,31,1761892.93856384,625469.186992363
661 Brook Hollow Rd,2,200,37205,RED RIVER,1301,23,1706207.37082671,649977.909029252
213 Perlen Dr,2,200,37206,RED RIVER,1201,6,1754750.56500654,671480.002624894
2524 Lakevilla Dr,2,200,37217,RED RIVER,4502,29,1778630.07374003,636218.257746206
1909 Lombardy Ave,2,200,37215,RED RIVER,4305,25,1730655.81759513,651039.805598663
511 Dunailie Dr,2,200,37217,RED RIVER,1402,13,1760211.00009457,648677.467190882
929 Cherry Plum Ct,2,200,37215,RED RIVER,3301,25,1727307.41058761,641086.230758614
5699 Deer Valley Trail,2,200,37013,RED RIVER,4405,31,1767959.59726667,617671.225741346
413 Mallory St,2,200,37203,,,17,1743345.21748139,657532.876783455
814 E Campbell Rd,2,200,37115,RED RIVER,3412,8,1753625.59807695,709606.198116655
2106 Buchanan St,2,200,37208,METRO,9208,21,1728711.0968709,673318.200432618
917 Montrose Ave,2,200,37204,METRO,9403,17,1736592.6479792,652429.600838865
317 Broadway,2,200,37201,METRO,,19,1739265.73449843,666223.767887905
505 Jocelyn Hollow Ct,2,200,37205,RED RIVER,1304,23,1699926.60030422,644796.801950571
