Incident Address,Missed Count,Fines,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
Westboro Dr,1,0,37209,RED RIVER,4203,20,1710105.75337222,662979.80001563
907 Paddock Park,1,0,37220,RED RIVER,3302S,34,1733172.25179184,639503.19062039
700 45Th Ave N,1,0,37209,RED RIVER,1309,20,1720287.40007187,664460.801832372
1204 Summer Shade Dr,1,0,37013,RED RIVER,4310,33,1793108.13489253,624376.237751301
4237 Belmont Park Ter,1,0,37215,RED RIVER,3303,25,1730266.4969342,643459.521592612
1327 Mcalpine Ave,1,0,37216,RED RIVER,2203,7,1757286.75967855,686176.76993142
127 Bess Ct S,1,0,37013,RED RIVER,4404,31,1764425.59461964,625493.832424799
1735 Hillmont Dr,1,0,37215,RED RIVER,3305,25,1730737.97095918,647260.28002127
7101 Charlotte Pike,1,0,37209,RED RIVER,1301,22,1700643.3659432,654478.401051469
525 Elaine Ave,1,0,37209,RED RIVER,4201,20,1713426.68184124,664310.143460872
723 Chickasaw Ave,1,0,37207,METRO,9203,5,1745324.16335554,680665.599251131
728 29Th Ave N,1,0,37209,METRO,9304,21,1726434.0644384,666085.37079421
6600 Jocelyn Hollow Rrd,1,0,37205,RED RIVER,1304,23,1699971.36572582,644324.801714659
136 Haynes Park Dr,1,0,37218,RED RIVER,3204,1,1722357.86750585,683890.623307502
3223 Doverside Dr,1,0,37207,RED RIVER,2202,3,1739339.36484525,694966.39929227
305 Errol Ln,1,0,37209,RED RIVER,4203S,20,1710545.33603956,667422.273247931
516 Veritas St,1,0,37211,METRO,9408,16,1748806.15544436,643255.084181839
509 Ash Briar Cir,1,0,37211,RED RIVER,3406,27,1760378.59892893,624828.79952188
208 Highland Villa Cir,1,0,37211,RED RIVER,4402S,27,1750057.56672647,622627.943607096
4718 Abbay Dr,1,0,37211,RED RIVER,4302,26,1749998.38009221,637394.794157717
118 Hearthstone Manor Cir,1,0,37027,RED RIVER,2402S,4,1742832.45793115,622472.981122118
1401 Winthorne Dr,1,0,37217,RED RIVER,1402,13,1760734.49045011,648538.293216977
413 Josephine Ct,1,0,37013,RED RIVER,4404,31,1765483.68407883,626272.234316927
3407 Mays St,1,0,37211,METRO,9408,16,1747869.60242086,643829.559255622
632 Roxanne Dr,1,0,37013,RED RIVER,4404,31,1764238.59999815,625273.600603095
757 Winthorne Dr,1,0,37217,RED RIVER,1402,16,1760002.08281182,650998.671174778
5140 Pritchett Dr,1,0,37220,RED RIVER,2401,26,1744220.2995167,628759.671792075
729 Woodmere Dr,1,0,37217,RED RIVER,1402,16,1758436.60810947,651258.133855051
719 Woodmere Dr,1,0,37217,RED RIVER,1402,16,1758022.60046218,651655.201354038
3816 Abbott Martin Rd,1,0,37215,RED RIVER,2303,25,1720070.80125008,647825.900717114
708 Ashworth Cir,1,0,37211,RED RIVER,4404,31,1761232.33807912,624820.005920776
5137 Fredericksburg Way W,1,0,37027,RED RIVER,4401,4,1742716.53040769,620757.108929778
189 Ocala Dr,1,0,37211,RED RIVER,4404,31,1763110.65048339,625565.129058771
288 Comroe Rd,1,0,37211,RED RIVER,2405,30,1759592.99831475,637029.600494595
766 Saussy Pl,1,0,37205,RED RIVER,1301,23,1698790.90988768,649157.037031098
452 Manley Dr,1,0,37220,RED RIVER,2401,26,1746554.87990552,630668.21170545
240 Nunley Dr,1,0,37211,RED RIVER,1404,26,1755215.39963168,641648.801587105
4604 Lila Ln,1,0,37218,RED RIVER,3203,1,1714764.7811277,688210.519722617
5132 Pritchett Dr,1,0,37220,RED RIVER,2401,26,1744305.19813402,628974.560966844
5332 Trousdale Dr,1,0,37220,RED RIVER,2403,26,1744084.30936462,627633.380476622
505 Oakley Dr,1,0,37220,RED RIVER,2401,26,1744309.35946235,629223.601528077
6524 Cornwall Ct,1,0,37205,RED RIVER,1301,23,1702900.20084166,647884.001013156
465 Manley Dr,1,0,37220,RED RIVER,2401,26,1746048.19910024,630166.400623919
3400 Springbrook Dr,1,0,37204,RED RIVER,4301,25,1738841.37007248,648497.301263677
801 18Th Ave S,1,0,37203,METRO,9405,19,1733853.00197053,662292.0017992
1101 Summit Ave,1,0,37203,METRO,9401,17,1736293.87728826,658027.030071045
5156 Pritchett Dr,1,0,37220,RED RIVER,2401,26,1744295.8287143,628183.431702462
533 Stevenson St,1,0,37209,RED RIVER,4203,20,1712668.92570022,663659.978160166
3609 Wells Ct,1,0,37013,RED RIVER,3502,33,1790382.60730361,636723.377781089
311 Bowwood Dr,1,0,37217,RED RIVER,1402,16,1758620.99868527,652488.800704039
5214 Pritchett Dr,1,0,37220,RED RIVER,2401,26,1744407.50762923,627679.58753016
315 Alice Ave,1,0,37211,RED RIVER,2405,30,1755179.83343316,633918.250689105
648 Roxanne Dr,1,0,37013,RED RIVER,4404,31,1764604.19930669,625230.400355729
721 Robert Burns Dr,1,0,37217,RED RIVER,1402,16,1759654.59903391,650963.201935402
2728 Windemere Dr,1,0,37214,RED RIVER,1503,15,1765906.59811644,674038.400756281
718 Robert Burns Dr,1,0,37217,RED RIVER,1402,16,1759462.03025078,650897.457696727
5623 Myrtlewood Dr,1,0,37211,RED RIVER,4402,4,1750301.79890546,621034.40022075
270 Largo Dr,1,0,37211,RED RIVER,2405,30,1759327.37378168,637651.985223664
677 Magnolia Ln,1,0,37211,RED RIVER,4402,4,1754136.64006513,620964.067241985
321 Flora Maxwell Rd,1,0,37211,RED RIVER,2405,30,1755322.74725992,634822.557003157
343 Lawndale Dr,1,0,37217,RED RIVER,1402,16,1756763.75706141,652089.740161164
525 Michele Dr,1,0,37013,RED RIVER,4404,31,1764394.19370697,624543.490302988
5109 Kincannon Dr,1,0,37220,RED RIVER,2401,26,1746090.59795057,629632.001374841
669 Magnolia Ln,1,0,37211,RED RIVER,4402,4,1754155.13947483,621093.667984085
708 Porter Rd,1,0,37206,METRO,9503,6,1752139.00063094,674148.120915508
1900 Richard Jones Rd,1,0,37215,,3305,25,1729699.92505679,645751.774366392
1141 Nashboro Blvd,1,0,37217,RED RIVER,2505S,29,1779824.5891344,639719.043450365
323 Bowwood Dr,1,0,37217,RED RIVER,1402,16,1758171.3991156,652017.601010689
2215 15Th Ave N,1,0,37208,METRO,9205,2,1728864.20052056,676272.798600027
512 Leeanne Dr,1,0,37211,RED RIVER,2405,27,1753411.87636947,631839.594961037
2104 25Th Ave S,1,0,37212,METRO,9301,18,1730167.40072735,655645.400750312
2426 Pafford Dr,1,0,37206,RED RIVER,1202,7,1757760.5633304,676565.000291585
2514 Carter Ave,1,0,37206,RED RIVER,1202,6,1758022.16311463,675787.599518707
701 Jones Park Ct,1,0,37207,METRO,9206,5,1739446.81342376,674285.822749332
923 Lischey Ave,1,0,37207,METRO,9202,5,1743037.76336189,675975.999079518
811 Powers Ave,1,0,37206,RED RIVER,1202,6,1753086.45684032,675075.810415057
2821 Creekview Dr,1,0,37217,RED RIVER,4503,29,1783764.96382093,635462.401699065
332 Bell Rd,1,0,37217,RED RIVER,4503,29,1781421.76356189,635843.201890714
2504 Sonar St,1,0,37214,RED RIVER,1501,15,1761079.34492395,694457.628847748
2522 Sonar St,1,0,37214,RED RIVER,1501,15,1760913.56453985,694723.579921121
2716 Western Hills Dr,1,0,37214,RED RIVER,1501,15,1766645.76463403,686779.199112362
1513 Preston Dr,1,0,37206,RED RIVER,1203,7,1756843.06467781,678131.260961845
